ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Thomas,Weiser,GER,0,01:13:38,00:04:31,05:53:12,00:03:04,05:26:00,114,12:40:23
Uwe,Gathmann,GER,0,01:15:20,00:05:02,06:26:27,00:04:08,04:50:40,115,12:41:36
Yvan,Nabat,FRA,0,01:04:54,00:05:24,05:53:16,00:04:47,05:34:02,116,12:42:22
Günter,Pilz,AUT,0,01:17:31,00:06:00,06:20:16,00:04:05,04:54:52,117,12:42:45
Cyril,Brissard,FRA,0,01:20:08,00:03:27,06:05:30,00:05:30,05:11:22,118,12:45:54
Bruno,Laurent,FRA,0,01:20:43,00:05:34,06:02:35,00:06:12,05:11:48,119,12:46:50
Daniel,Bory,FRA,0,01:17:25,00:09:55,06:09:25,00:06:05,05:06:26,120,12:49:14
Pierre,Boissier,FRA,0,01:19:14,00:06:17,06:24:41,00:04:18,04:55:03,121,12:49:32
Eric,Poniatowski,FRA,0,01:21:48,00:06:41,07:11:11,00:06:59,04:05:21,122,12:52:00
Frank,Braun,GER,0,01:18:14,00:05:53,06:14:34,00:05:30,05:08:13,123,12:52:22
Waldemar,Strzelczyk,GER,0,01:30:26,00:08:11,06:13:13,00:06:40,04:54:18,124,12:52:47
Matthias,Kuld,GER,0,01:18:52,00:07:34,06:20:14,00:05:59,05:01:42,125,12:54:19
Ralf,Schwarz,GER,0,01:20:48,00:05:46,05:42:17,00:03:32,05:50:14,126,13:02:35
Günni,Müller,GER,0,01:25:43,00:06:59,06:46:55,00:05:26,04:44:49,127,13:09:51
Yves,Alibert,FRA,0,01:17:35,00:08:44,06:18:15,00:06:29,05:28:54,128,13:19:55
Adrian,Pugh,GBR,0,01:17:53,00:06:52,06:52:33,00:06:08,04:56:54,129,13:20:17
Daniel,Rumeau,FRA,0,01:27:38,00:06:17,06:40:11,00:05:52,05:00:54,130,13:20:52
Alfred,Kraus,GER,0,01:23:36,00:10:56,06:07:11,00:04:24,05:35:48,131,13:21:52
Holger,Kurpiers,GER,0,01:12:43,00:07:25,06:40:19,00:06:27,05:16:01,132,13:22:53
Pete,Hughes,GBR,0,01:16:02,00:03:14,06:24:57,00:05:07,05:38:27,133,13:27:45
Antonio,Gonzalez Gaton,ESP,0,01:40:44,00:04:37,06:54:37,00:06:17,04:44:51,134,13:31:04
Peter,Huybrechts,FRA,0,01:23:07,00:06:54,06:37:11,00:04:36,05:24:33,135,13:36:20
Klaus,Schneider,GER,0,01:29:14,00:04:27,06:58:13,00:06:00,05:01:11,136,13:39:05
Thierry,Couzon,FRA,0,01:25:00,00:06:16,06:37:01,00:08:26,05:24:48,137,13:41:30
Mario,Hill,GER,0,01:22:39,00:04:15,06:25:31,00:03:15,05:49:09,138,13:44:47
Hans-Peter,Schramm,GER,0,01:32:54,00:05:29,06:33:17,00:03:19,05:30:12,139,13:45:08
Guy,Vannelli,FRA,0,01:45:46,00:05:54,06:29:56,00:06:47,05:16:49,140,13:45:12
Bernhard,Nuss,GER,0,01:51:43,00:04:00,06:44:40,00:02:08,05:03:03,141,13:45:33
Jörg,Kustermann,GER,0,01:17:23,00:03:14,05:53:36,00:03:14,06:35:43,142,13:53:08
Christophe,Foucaud,FRA,0,01:16:08,00:06:19,07:04:16,00:06:50,05:34:34,143,14:08:05
Ralf,Kämpgen,GER,0,01:26:21,00:03:51,07:12:53,00:03:32,05:23:03,144,14:09:41
Joel,Delaporte,FRA,0,01:31:59,00:09:20,06:36:10,00:05:58,05:48:44,145,14:12:11
Lionel,Ramon,FRA,0,01:11:45,00:07:57,06:36:10,00:05:32,06:10:48,146,14:12:11
Mark,Madges,GBR,0,01:30:00,00:07:32,07:15:46,00:07:26,05:23:54,147,14:24:37
Konrad,Schmitz,GER,0,01:23:23,00:05:29,07:02:41,00:03:45,05:49:38,148,14:24:54
Hans-Jürgen,Schober,GER,0,01:47:02,00:05:48,07:14:21,00:04:30,05:21:30,149,14:33:09
Patrick,Morin,FRA,0,01:41:48,00:07:26,07:00:35,00:06:20,05:46:36,150,14:42:43
Walter,Bianchi,ITA,0,01:40:05,00:08:05,07:09:33,00:07:17,05:39:58,151,14:44:55
Olaf,Schmalfuß,GER,0,01:41:08,00:09:09,06:53:54,00:08:16,05:56:01,152,14:48:26
Joachim,Feyka,GER,0,01:26:20,00:06:43,07:20:21,00:05:41,05:56:56,153,14:55:58
Gilles,Parrot,FRA,0,01:11:58,00:04:47,06:22:05,00:06:20,07:11:16,154,14:56:23
Bruno,Sellier,FRA,0,01:14:55,00:04:17,06:36:45,00:03:47,06:56:43,155,14:56:26
